fid,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
682,22685261,Coracopsis vasa,1,1,1,"Sinclair, 1998; Langrand, 1990",BirdLife International,2018,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,88.82415833,35.52997038
683,22679866,Coscoroba coscoroba,1,1,2,"Ridgley, 2003, Shirihai, 2002; Natureserve3 2005, Kear 2005, Jaramillo et al 2003, del Hoyo et al 1992",BirdLife International,2016,0,, , ,0,2022.1,2008,BirdLife International and Handbook of the Birds of the World,75.87607186,47.20982006
684,22679866,Coscoroba coscoroba,1,1,1,"Ridgley, 2003, Shirihai, 2002; Natureserve3 2005, Kear 2005, Jaramillo et al 2003, del Hoyo et al 1992; Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2008,BirdLife International and Handbook of the Birds of the World,133.9770792,154.7124473
685,22679866,Coscoroba coscoroba,1,1,3,"Ridgley, 2003, Natureserve3 2005, Kear 2005, Jaramillo et al 2003, del Hoyo et al 1992; Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2008,BirdLife International and Handbook of the Birds of the World,145.2593143,200.2924063
686,22684160,Coua reynaudii,1,1,1,"Safford and Hawkins, 2013",Joe Taylor (BirdLife International),2018,0,, , ,0,2022.1,2010,BirdLife International and Handbook of the Birds of the World,52.23608146,27.53610818
687,22694493,Creagrus furcatus,1,1,1,"Castro & Phillips, 1996; Lopez-Victoria and Rozo, 2006","NatureServe, 2005; Hannah Wheatley (BirdLife International)",2018,0,, , ,0,2022.1,2014,BirdLife International and Handbook of the Birds of the World,28.29030432,6.686624361
688,22694493,Creagrus furcatus,1,1,3,"Ridgely, 2002; del Hoyo et al, 1996; Ridgely, 2002","NatureServe, 2002",2018,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,134.1311782,383.6986954
689,22694493,Creagrus furcatus,1,1,2,"Castro and Phillips, 1996; Lopez-Victoria and Rozo, 2006",Hannah Wheatley (BirdLife International),2018,0,, , ,0,2022.1,2014,BirdLife International and Handbook of the Birds of the World,14.82663664,0.414116659
690,22692543,Crex crex,1,1,4,"Urban, 1986",BirdLife International,2016,0,, , ,0,2022.1,2003,BirdLife International and Handbook of the Birds of the World,289.1913283,475.861161
691,22692543,Crex crex,1,1,3,"BirdLife International, 2002; Urban, 1986",BirdLife International,2016,0,, , ,0,2022.1,1999,BirdLife International and Handbook of the Birds of the World,126.0627176,341.2698564
