#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
16343	ZOCAP03	PlasH9	Plasmodium	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Unknown	Wild	South America	Chile	 	PN Fray Jorge	-30°39.00000', -071°41.40000'	1	34	Doussang et al 2019	 
16344	ZOCAP03	PlasH9	Plasmodium	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Unknown	Wild	South America	Chile	 	Rinconada	-33°31.80000', -070°06.00000'	6	37	Doussang et al 2019	 
16345	ZOCAP04	ChL8	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
16346	ZOCAP05	ChL3	Leucocytozoon	Passeriformes	Furnariidae	Aphrastura	Aphrastura spinicauda	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
16347	ZOCAP05	ChL3	Leucocytozoon	Passeriformes	Fringillidae	Carduelis	Carduelis barbata	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
16348	ZOCAP05	ChL3	Leucocytozoon	Passeriformes	Fringillidae	Phrygilus	Phrygilus patagonicus	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
16349	ZOCAP05	ChL3	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
16350	ZOCAP06	ChL11	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
16351	ZOCAP06	 	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile montanus	 	Resident	Unknown	Wild	Asia	Japan	Saitama	Tsundashi Pass	35°55.17000', 138°48.30000'	1	11	Imura et al 2012	 
16352	ZOCAP08	Haemoproteus sp. ZC1	Haemoproteus	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Unknown	Wild	South America	Peru	 	 	 	46	184	Jones et al 2013	 
