"","x"
"754","Myrmoborus myotherinus"
"755","Sclerurus caudacutus"
"756","Microbates collaris"
"757","Geotrygon montana"
"758","Dixiphia pipra"
"759","Hylexetastes perrotii"
"760","Pithys albifrons"
"761","Oporornis formosus"
"762","Lepidothrix coeruleocapilla"
"763","Cyanerpes cyaneus"
"764","Tangara labradorides"
"765","Tangara parzudakii"
"766","Tangara ruficervix"
"767","Tangara arthus"
"768","Hypothymis azurea"
"769","Cyornis hainanus"
"770","Cymbilaimus sanctaemariae"
"771","Cyornis pallidipes"
"772","Cyphorhinus arada"
"773","Cypsnagra hirundinacea"
"774","Dacnis cayana"
"775","Dacelo gaudichaud"
"776","Deconychura longicauda"
"777","Dendrocitta formosae"
"778","Egretta garzetta"
"779","Prinia socialis"
"780","Chrysomma sinense"
"781","Zosterops palpebrosus"
"782","Parus monticolus"
"783","Ficedula hyperythra"
"784","Saxicola rubetra"
"785","Dendrocygna autumnalis"
"786","Rynchops niger"
"787","Dendrocolaptes certhia"
"788","Malacoptila rufa"
"789","Saltator coerulescens"
"790","Bucco tamatia"
"791","Pyriglena leuconota"
"792","Dendrocincla fuliginosa"
"793","Athene cunicularia"
"794","Harpagus diodon"
"795","Dendrocincla merula"
"796","Thamnophilus aethiops"
"797","Formicarius colma"
"798","Thryothorus longirostris"
"799","Formicivora melanogaster"
"800","Pachyramphus polychopterus"
"801","Parula pitiayumi"
"802","Turdus leucomelas"
"803","Thamnophilus nigrocinereus"
"804","Hemithraupis guira"
"805","Mimus saturninus"
"806","Cacicus solitarius"
"807","Hypocnemis subflava"
"808","Pipra fasciicauda"
"809","Turdus hauxwelli"
"810","Xiphorhynchus ocellatus"
"811","Ramphastos vitellinus"
"812","Cantorchilus longirostris"
"813","Myiothlypis flaveola"
"814","Neothraupis fasciata"
"815","Synallaxis frontalis"
"816","Ammodramus humeralis"
"817","Basileuterus leucoblepharus"
"818","Gubernatrix cristata"
"819","Myiarchus swainsoni"
"820","Schoeniophylax phryganophilus"
"821","Ramphastos dicolorus"
"822","Turdus flavipes"
"823","Pygochelidon cyanoleuca"
"824","Cacicus chrysopterus"
"825","Dendrocygna viduata"
"826","Dendrocincla turdina"
"827","Myrmotherula axillaris"
"828","Dicrurus balicassius"
"829","Dichrozona cincta"
"830","Dicaeum trigonostigma"
"831","Xenospingus concolor"
"832","Diglossa humeralis"
"833","Amblycercus holosericeus"
"834","Diglossa mystacalis"
"835","Haplospiza rustica"
"836","Henicorhina leucoptera"
"837","Iridosornis rufivertex"
"838","Ochthoeca rufipectoralis"
"839","Hemispingus verticalis"
"840","Diglossa lafresnayii"
"841","Lepidocolaptes affinis"
"842","Troglodytes solstitialis"
"843","Picoides albolarvatus"
"844","Syndactyla rufosuperciliata"
"845","Dubusia taeniata"
"846","Toxostoma rufum"
"847","Ammodramus leconteii"
"848","Oporornis philadelphia"
"849","Carduelis tristis"
"850","Lagopus lagopus"
